"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","16","69","74","6","7.443993","0","82"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","16","84","93","2","10.482801","0","93"
"Globals","16","2558","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","16","15","5","1","2.314626","0","43"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","16","7","1","1","1.100890","0","21"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","16","24","1","1","4.612383","0","157"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","16","10","4","1","1.407915","0","25"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","16","10","2","1","1.376867","0","28"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","16","2","2","1","0.388473","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","16","66","4","1","10.238293","0","935"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","16","92","2","1","15.023252","0","588"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","16","4","4","1","0.541222","0","4"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","16","597","167","1","69.225784","0","30227"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","16","85","90","1","11.914525","0","90"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","16","147","3","1","22.633951","0","628"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","16","2","2","1","0.290311","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","16","12","12","1","1.773684","0","12"
"/Engine/VREditor/TransformGizmo/Main.Main","16","8","8","1","0.994833","0","8"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","16","8","8","1","1.010129","0","8"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","16","2","2","1","0.276047","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","16","8","8","1","1.036555","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","16","24","24","1","3.527224","0","24"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","16","49","52","1","6.386613","0","52"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","16","50","50","1","6.925715","0","50"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","16","6","6","1","0.768288","0","6"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","16","19","19","1","1.908392","0","19"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","16","115","115","1","16.314548","0","115"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","16","910","936","1","120.257683","0","936"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","16","33","3","1","4.348041","0","187"
"/Engine/Tutorial/SubEditors/TutorialAssets/Character/TutorialTPP_Mat.TutorialTPP_Mat","16","24","4","1","64.854340","0","166"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","16","4","1","1","10.034399","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","16","4","1","1","8.487786","0","13"
"/Game/FPWeapon/Materials/M_FPGun.M_FPGun","16","70","4","1","10.220533","0","1347"
"/Game/FirstPerson/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","16","70","6","1","10.348720","0","676"
"/Game/FirstPerson/Meshes/BaseMaterial.BaseMaterial","16","33","4","1","5.603349","0","214"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","16","19","2","1","2.407228","0","120"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","16","7","8","1","1.054234","0","8"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","16","21","3","1","4.326212","0","109"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","16","30","3","1","5.615934","0","187"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","16","2","2","1","0.343845","0","2"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","16","42","2","1","86.079041","0","327"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","16","21","4","1","47.418972","0","108"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","16","21","2","1","52.658077","0","96"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","16","21","4","1","52.360851","0","106"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","16","21","3","1","50.692577","0","112"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","16","21","3","1","42.781208","0","80"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","16","21","1","1","41.699604","0","77"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","16","21","4","1","46.044243","0","116"
